Position,Force,Speed
-8876.219727,-8.899999619,40.95000076
-8916.50293,-8.930000305,41.04999924
-8999.266602,-8.920000076,41
-9040.038086,-8.949999809,40.75999832
-9118.407227,-8.920000076,40.43000031
-9156.249023,-8.920000076,40
-9227.049805,-8.949999809,39.16999817
-9299.803711,-8.979999542,38.99000168
-9338.866211,-8.979999542,39.24000168
-9420.40918,-8.989999771,39.68000031
-9463.62207,-8.970000267,39.58000183
-9539.549805,-8.960000038,39.56000137
-9580.80957,-8.970000267,39.50999832
-9656.737305,-8.909999847,38.81999969
-9691.405273,-8.93999958,38.5
-9762.694336,-8.970000267,38.20000076
-9838.62207,-8.930000305,38.61000061
-9881.102539,-8.930000305,38.70999908
-9959.227539,-8.949999809,38.68999863
-9997.801758,-8.989999771,38.54000092
-10075.19434,-8.960000038,38.65000153
-10113.28027,-8.979999542,38.63999939
-10186.03418,-8.960000038,37.91999817
-10256.10254,-8.970000267,37.43000031
-10291.25879,-8.960000038,37.31000137
-10365.2334,-8.970000267,37.36999893
-10442.38184,-8.930000305,37.43000031
-10478.27148,-8.960000038,37.15000153
-10547.11816,-8.899999619,37.06999969
-10622.06836,-8.960000038,36.59000015
-10654.7832,-8.909999847,36.18000031
-10718.25977,-8.93999958,35.40999985
-10783.20117,-8.989999771,34.77000046
-10847.6543,-8.970000267,34.47999954
-10916.01367,-8.970000267,34.79999924
-10953.12305,-8.960000038,34.54000092
-11016.84375,-8.949999809,33.86000061
-11081.54102,-8.960000038,33.90999985
-11144.77344,-8.989999771,33.18000031
-11201.6582,-8.930000305,32.11999893
-11256.10156,-8.93999958,31.11000061
-11311.0332,-8.960000038,30.61000061
-11397.21484,-8.989999771,30.51000023
-11458.25,-8.960000038,30
-11510.74023,-8.930000305,29.53000069
-11566.16016,-8.979999542,29.23999977
-11620.35938,-8.899999619,28.56999969
-11671.62891,-8.920000076,27.90999985
-11742.91797,-8.960000038,26.93000031
-11791.50195,-8.93999958,26.60000038
-11870.11523,-8.899999619,26.54000092
-11923.58203,-8.909999847,26.51000023
